250 250
0 163 11
163 69 15
69 177 4
177 237 5
237 62 5
62 223 8
223 122 10
122 43 9
43 157 13
157 82 5
82 224 9
224 235 12
235 11 6
11 241 4
241 225 7
225 242 20
242 56 11
56 38 14
38 39 16
39 102 14
102 233 13
233 176 8
176 136 9
136 226 11
226 32 17
32 78 5
78 201 9
201 67 14
67 51 10
51 149 18
149 134 7
134 159 27
159 147 24
147 245 8
245 127 19
127 23 16
23 40 13
40 17 16
17 175 22
175 55 11
55 47 5
47 168 8
168 66 9
66 103 10
103 113 6
113 194 7
194 80 4
80 197 7
197 42 5
42 238 26
238 10 9
10 249 7
249 131 10
131 214 5
214 57 6
57 203 2
203 193 21
193 101 5
101 114 12
114 13 26
13 167 14
167 89 6
89 106 26
106 121 14
121 189 11
189 153 19
153 9 5
9 26 7
26 230 8
230 170 12
170 2 8
2 58 22
58 183 4
183 150 4
150 220 11
220 36 6
36 248 11
248 217 12
217 83 13
83 206 8
206 65 10
65 53 26
53 228 8
228 124 15
124 137 23
137 18 11
18 30 5
30 191 13
191 173 10
173 5 1
5 133 1
133 12 10
12 49 8
49 211 14
211 90 4
90 61 2
61 130 19
130 129 10
129 221 8
221 205 33
205 31 9
31 71 15
71 229 14
229 1 17
1 139 21
139 202 8
202 231 10
231 148 24
148 155 16
155 76 15
76 154 10
154 87 21
87 188 21
188 95 10
95 34 6
34 182 11
182 28 10
28 156 19
156 144 20
144 192 8
192 184 5
184 218 3
218 239 12
239 35 13
35 119 16
119 94 28
94 151 4
151 86 7
86 247 21
247 98 8
98 88 15
88 50 12
50 91 12
91 77 9
77 212 26
212 45 23
45 187 11
187 93 5
93 46 8
46 216 6
216 152 16
152 180 12
180 63 4
63 200 9
200 179 12
179 161 5
161 128 17
128 143 15
143 14 9
14 107 15
107 240 17
240 117 11
117 196 30
196 48 1
48 236 6
236 111 7
111 120 15
120 22 6
22 24 5
24 44 15
44 37 21
37 6 17
6 199 12
199 165 1
165 222 11
222 85 7
85 105 20
105 174 12
174 92 18
92 178 10
178 210 13
210 41 1
41 158 22
158 60 10
60 110 5
110 109 6
109 20 2
20 227 4
227 29 6
29 97 14
97 132 4
132 171 25
171 181 1
181 15 10
15 169 4
169 162 14
162 59 6
59 75 6
75 219 7
219 52 8
52 243 14
243 16 10
16 84 20
84 146 9
146 135 6
135 3 17
3 118 6
118 190 14
190 8 10
8 112 18
112 213 13
213 215 18
215 123 4
123 116 12
116 126 3
126 104 16
104 74 7
74 141 13
141 25 12
25 246 10
246 208 11
208 7 25
7 160 13
160 164 14
164 140 11
140 172 13
172 81 24
81 4 6
4 115 16
115 145 5
145 100 5
100 186 14
186 21 10
21 138 5
138 209 12
209 244 15
244 108 5
108 70 8
70 232 13
232 142 12
142 68 3
68 234 20
234 33 14
33 79 31
79 19 14
19 185 1
185 72 7
72 198 8
198 99 8
99 207 14
207 166 7
166 96 16
96 73 11
73 204 8
204 54 14
54 27 20
27 195 19
195 125 20
125 64 7
64 0 17
